,Description,TotalSalesDollars,ProfitMargin
192,Almaden Moscato Rhine,260.71,19.911012235817573
194,Almaden Pnt Grigio B/B,5560.71,32.02306899658497
195,Alpataco Malbec,575.64,32.45778611632271
196,Alpataco Pnt Nr,735.54,47.48348152377845
197,Alphonse Dolly Pouilly-Fume,1914.1599999999999,14.20257449742968
199,Alta Classe Mntplcno Abruzzo,327.59000000000003,60.73140205744987
200,Alta Vista Malbec Mendoza,137.88,42.81984334203655
201,Altadonna Nero D'Avola,1594.8600000000001,86.8678128487767
202,Altadonna Vermentino,530.41,96.49327878433664
203,Alter Ego de Palmer Mrgx 11,2240.73,73.37296327536116
204,Alto Ego De Palmer Margaux,2665.69,97.91873773769643
207,Altocedro Finca Tanos Malbec,1783.9499999999998,23.950222820146294
208,Altocedro Malbec Reserva,239.92,31.043681227075687
210,Alverez de Toledo Godello,2115.9900000000002,40.15567181319382
211,Alverez de Toledo Mencia Rbl,5350.84,36.647703911909154
212,Amadeo Chianti,191.76,31.53942428035044
214,Amapola Creek 09 Cab Svgn,2507.56,82.33900684330584
218,Amaretto di Amore VAP,9650.35,5.744040371592737
220,Amaro Sfumato Rabarbaro,43.98,21.282401091405184
222,Ame Neyers Cab Svgn Napa,1999.75,31.130391298912365
224,Americano Petite Syrah,1560.12,30.774555803399732
225,Amrut Fusion Single Malt,5384.19,90.64297508074566
227,Anakota 11 Helena Montana CS,1919.76,18.351773138308953
228,Anakota Cab Svgn Helena Dako,1359.83,37.809137906944244
229,Anarkos Puglia,299.76,66.21297037630104
230,Anastasi Estates Messinia Rd,323.73,85.28403299045502
232,Anderra Cab Svgn,4374.21,45.415515030142586
233,Anderra Carmenere,107.88,32.92547274749722
234,Anderra Svgn Bl,5655.8,39.36224760422928
239,Andre Moscato,558.04,23.44634793204788
241,Andre Pink Moscato,240.58,20.093108321556237
242,Andre Spumante Calif,2295.15,34.048754983334426
243,Andrew Will Two Blondes WA,803.88,33.333333333333336
244,AnestasiA Vodka,7990.389999999999,68.47212714273019
248,Angela Yamhill-Carlton Pnt N,1072.71,19.389210504236935
249,Angeline Chard Cal,217.76,18.497428361498898
254,Angeline Svgn Bl RRV,255.15,34.15637860082305
257,Angelini Sangiovese Pesaresi,1888.81,38.052530429212034
259,Angels Envy Hanover Chop,275.94,23.070232659273753
261,Angels Landing Cab Svgn,4817.59,22.404355704823374
262,Angoves Nine Vines Moscato,395.67,2.289786943665176
264,Anna de Codorniu Brut Rose,191.88,34.64665415884928
265,Annabella Cab Svgn Napa,1039.35,24.60095251840092
267,Antech Limoux Brut,1618.65,0.9174311926605447
268,Anterra Chardonnay,4634.2,91.84325234128869
269,Anthology Conn Crk Cab Napa,4164.9400000000005,23.311020086723943
270,Antica Cab Svgn Napa Valley,2791.4,21.007379809414633
271,Antica Chard Napa Valley,1193.62,31.12380824718084
272,Antica Fratta Franciacorta B,6680.38,44.51872498271057
273,Antico Colle Chianti Colli,263.76,33.75796178343949
275,Antigal Uno Cab Mendza,782.52,72.64478863160048
277,Antinori Badia Chianti Clsc,455.88,28.73782574361674
278,Antinori Bolgheri Guado,5948.39,56.80242889252386
279,Antinori Brnllo Mntlcno Pain,1413.74,50.89196033216857
280,Antinori Cervaro della Salla,271.92,37.65813474551339
