,ProfitMargin
0,25.297692514949137
1,21.062809523579187
2,24.67578583081286
3,27.139908408024134
4,28.41276420040653
5,27.106980369822804
6,21.493098212403297
7,19.43281151745515
8,27.902067720968233
9,27.18108099981335
10,28.78312478097309
11,18.605389250000247
12,32.49189293728761
13,37.2283974045865
14,27.734904803418587
15,18.659177556997
16,24.167054387140162
17,32.49181675337754
18,27.128210411789834
19,19.455499298640685
20,27.339386760504087
21,24.823106938639928
22,20.91536723479676
23,30.557677552715084
24,26.531068460394724
25,23.438626247540675
26,24.924740687225068
27,33.2325849315421
28,30.68972206568199
29,26.255182087413992
30,26.524494639740816
31,22.471612800808842
32,33.850974481195166
33,16.71462756928524
34,16.871098037857333
35,24.594663316710218
36,26.866023913586247
37,29.63763702844153
38,32.82232394431391
39,18.828431046192417
40,30.743750144387892
41,18.475382756943663
42,23.795931387970583
43,22.710176933635935
44,41.26965228559409
45,20.906844271207625
46,24.337414811022658
47,27.377944806775723
48,38.31731341388479
49,20.88870559925221
50,31.137564481298185
51,28.82178778493099
52,30.51827386521046
53,39.750942364989605
54,18.27490494073443
55,29.218382304087704
56,20.85170689870541
57,26.957658681026402
58,32.540785433643975
59,36.628851125698006
60,30.752391805951724
61,29.463274114011234
62,26.301799928062863
63,30.842637030581553
64,15.856187945934716
65,26.74439716713412
66,16.906097983081047
67,40.415730261000085
68,22.262616461936723
69,23.19762283549745
70,27.376136965467683
71,21.21167706684939
72,36.57299135841387
73,19.317516232629963
74,10.595559477515822
75,27.29693014420701
76,31.416380972155377
77,25.39676720048701
78,26.670224735482023
79,23.657232673323268
80,27.516838266238246
81,33.1700555898071
82,20.934244035639324
83,31.783500334420435
84,25.33952676909374
85,35.786610453682336
86,34.60520542764446
87,38.20013599435828
88,19.135798671632536
89,24.5364365948828
90,28.877444651276967
91,33.305199383254774
92,26.558805772679072
93,26.860523294110866
94,24.554394482047048
95,31.200847549807005
96,22.144627459079878
97,30.76309278493224
98,28.815663762480998
99,41.09785931443653
100,23.789720907324146
101,28.053149390567334
102,22.895312085494464
103,26.54104961188103
104,30.10494798878458
105,27.71330779535927
106,32.84828542321305
107,29.535238879083092
108,27.12938496290942
109,30.083298141423683
110,30.91960916545837
111,26.81461308499728
112,29.393049999801846
113,18.463414465781128
114,24.14808684503233
115,23.574036886021894
116,29.376064437839506
117,35.1275094458572
118,25.105081225197445
119,22.381519251221015
120,26.616889377376868
121,21.038324391584336
122,18.924991137966142
123,26.853328736893822
124,23.91847993896075
125,47.16854263981259
126,24.05534623809161
127,39.04991506994462
128,24.780224078991285
129,21.196182626128596
130,27.082562704643582
131,41.57375317265367
132,20.633044868837665
133,33.27041201574883
134,20.07676208619145
135,31.47943248701078
136,28.336896482329703
137,26.64375070309461
138,10.530100387856718
139,24.371376713623665
140,31.5007042594017
141,29.444798059017323
142,28.458746325637847
143,18.879316497855438
144,15.56276405318569
145,27.92831141425441
146,34.09126743791907
147,19.64370582897739
148,25.476755463274337
149,23.893147967631943
150,19.78539799506023
151,29.564630038960782
152,27.554794132960218
153,36.46510096910628
154,47.395188170029876
155,26.680341336246638
156,28.955460670194228
157,24.142530187212866
158,33.833250825152575
159,29.971293844209768
160,17.531158320205915
161,25.113455922605336
162,34.735854623468946
163,37.74849283746746
164,30.8399513431786
165,24.215206257661574
166,31.30968362808309
167,30.92044909337473
168,28.070246856543523
169,43.475179499292935
170,32.25138994809902
171,28.665204751961937
172,27.11054638543849
173,43.63140022372829
174,40.883593796321605
175,31.79279186998045
176,30.134473187048776
177,30.503131202541173
178,32.53701637986984
179,21.590365874250395
180,29.009614693747842
181,41.98361973214743
182,18.732102606994516
183,30.316254882420996
184,27.23219017909872
185,33.38931154495117
186,18.840071078078804
187,16.777972460899456
188,23.802879054124404
